approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.0053692176,372,265500,0.16953,0.056470066,265500,-0.0027817562,1500.0,0.06586663,697.1200983524323,0.42061225,177,0.5117381811141968
0.005591707,368,267000,0.0,0.03231996,267000,-0.0033792767,1500.0,0.064799964,701.1870741844177,0.49745858,178,-0.016871213912963867
0.0072974814,379,268500,0.0,0.009371098,268500,-0.0066593755,1500.0,0.08726665,705.1431231498718,0.4813038,179,0.5720292031764984
0.0057381117,383,270000,0.0,0.006972986,270000,-0.003589426,1500.0,0.068533294,709.0534327030182,0.44615608,180,0.5778988301753998
0.0029239082,386,271500,0.0,0.031604316,271500,-0.0032833056,1500.0,0.031599984,712.9385495185852,0.39279133,181,0.5487288236618042
0.0037796823,372,273000,0.0,0.01923727,273000,-0.0050063822,1500.0,0.040066637,716.9644911289215,0.57103276,182,0.06844311952590942
0.005329208,378,274500,0.0,0.015769118,274500,-0.0020355436,1500.0,0.06019996,720.9278318881989,0.47686905,183,-2.3812294006347656
0.0031588378,389,276000,0.0,0.04787236,276000,-0.0018589303,1500.0,0.039199974,724.7829015254974,0.41304576,184,-1.2420012950897217
0.007937866,390,277500,0.0,0.0044348584,277500,-0.0020322097,1500.0,0.0973333,728.62766289711,0.5367653,185,0.6258309781551361
0.0032023778,377,279000,0.0,0.02890237,279000,-0.0026902885,1500.0,0.040266644,732.597770690918,0.49933064,186,-2.385200262069702
0.011164755,378,280500,0.12108,0.010131971,280500,-0.005230472,1500.0,0.13146666,736.558739900589,0.571016,187,0.5539465248584747
0.0066145808,388,282000,0.0,0.017010972,282000,-0.0043530944,1500.0,0.08919996,740.4200863838196,0.49702206,188,0.8528033941984177
0.004770571,384,283500,0.234633,0.032924987,283500,-0.004778997,1500.0,0.07773329,744.3222780227661,0.5752654,189,0.4143855571746826
0.013088906,389,285000,0.0,0.007839374,285000,-0.0048184693,1500.0,0.1182,748.174932718277,0.6586996,190,-1.6964025497436523
0.0064210375,374,286500,0.0,0.034775164,286500,-0.003715668,1500.0,0.074799955,752.1814563274384,0.5342634,191,-0.02704143524169922
0.005505734,384,288000,0.189646,0.0027555504,288000,-0.0068673915,1500.0,0.07233329,756.0833067893982,0.62927294,192,0.7660442292690277
0.010245076,389,289500,0.0,0.006165605,289500,-0.002712154,1500.0,0.112133354,759.9336805343628,0.53019595,193,0.002470731735229492
0.016130725,371,291000,0.0,0.0050097764,291000,-0.011502837,1500.0,0.10446665,763.9771106243134,0.542837,194,0.11033082008361816
0.0058904137,374,292500,0.0,0.13333154,292500,-0.0037725556,1500.0,0.06459996,767.9778094291687,0.48747638,195,0.29594194889068604
0.007918491,372,294000,0.0,0.008188937,294000,-0.009078903,1500.0,0.09899998,772.0016601085663,0.7151993,196,0.6226052641868591
0.007793861,386,295500,0.0,0.0028956158,295500,-0.0038301675,1500.0,0.10059998,775.8793792724609,0.58267164,197,0.26287782192230225
0.005195974,386,297000,0.0,0.0057596047,297000,-0.0006574389,1500.0,0.06306663,779.7581579685211,0.56531477,198,-1.1537742614746094
